variant,fraction_bin,cumulative_fce,cumulative_true_progress,commitment_debt_after,fce_per_progress
no_actionability_downgrade,0.48,172.72930837500002,40.78478796428572,76.38492121785714,4.2351405265672835
no_actionability_downgrade,0.5,174.68527569642856,48.77898017857143,77.36215204785715,3.5811588322866923
no_actionability_downgrade,0.52,175.07822926785713,50.593445464285715,77.50617826964286,3.460492315974925
no_actionability_downgrade,0.54,176.3311578392857,51.644044892857146,79.01717583214285,3.414356063803863
no_actionability_downgrade,0.56,178.670547125,52.42197746428571,78.46382694964286,3.408313760134774
no_actionability_downgrade,0.58,179.75961855357144,54.57409378571429,80.18432646607143,3.2938635547371495
no_actionability_downgrade,0.6,179.75961855357144,56.057413964285715,80.92846975892857,3.206705515671783
no_actionability_downgrade,0.62,179.75961855357144,57.724740357142856,79.261423655,3.114082756222012
no_actionability_downgrade,0.64,179.75961855357144,59.67154703571429,83.45845907535714,3.0124846343598684
no_actionability_downgrade,0.66,180.21826369642855,61.18520385714286,83.45891225857143,2.9454549847902416
no_actionability_downgrade,0.68,255.12459608928572,78.03811771428572,80.04176221321428,3.26923051915926
no_actionability_downgrade,0.7,260.20721375,78.03811771428572,82.31233779607143,3.3343604557797564
no_actionability_downgrade,0.72,267.2552103392857,78.03811771428572,84.47840493,3.42467525059695
no_actionability_downgrade,0.74,274.1315508571428,78.03811771428572,85.80391523642857,3.512790401490682
no_actionability_downgrade,0.76,276.57842416964286,78.52118253571429,84.39929918607143,3.522341554698886
no_actionability_downgrade,0.78,281.2775091696429,78.91972110714286,85.74339293785714,3.5640965936483147
no_actionability_downgrade,0.8,286.75541739285717,79.44235003571428,87.44847300142858,3.60960391106183
no_actionability_downgrade,0.82,290.39750379464283,80.03679217857143,90.37722182964285,3.6283001341024774
no_actionability_downgrade,0.84,291.0609754196429,87.7592492142857,89.09128104107143,3.316584611029958
no_actionability_downgrade,0.86,291.9700325625,89.73343092857144,91.40457268464286,3.2537486814129575
no_actionability_downgrade,0.88,293.87817184821427,90.20787007142857,92.53969040107143,3.257788612185556
no_actionability_downgrade,0.9,296.57253613392857,91.46382307142858,92.65444887178572,3.242511915364838
no_actionability_downgrade,0.92,296.8816039910715,92.92760299999999,94.40256477857143,3.1947623139603794
no_actionability_downgrade,0.94,296.8816039910715,95.14552557142858,95.53562541250001,3.120289705774904
no_actionability_downgrade,0.96,296.8816039910715,97.09544535714285,95.25534874928572,3.05762647155139
no_actionability_downgrade,0.98,296.8816039910715,99.65650264285715,96.96577082678571,2.9790489944747263
no_actionability_downgrade,1.0,296.8816039910715,100.87930110714287,100.42443762535716,2.942938746926454
no_commitment_debt,0.0,3.3047335214285716,0.0,45.355650819285714,3304733521.428571
no_commitment_debt,0.02,11.79155387142857,0.0,50.90812670035715,11791553871.42857
no_commitment_debt,0.04,19.378903580357143,0.0,57.80622661892857,19378903580.357143
no_commitment_debt,0.06,25.01973349464286,0.0,57.46999515928571,25019733494.64286
no_commitment_debt,0.08,30.130329201785717,0.5742448035714285,62.961717168214285,52.469485164505976
no_commitment_debt,0.1,35.829291385714285,1.389723107142857,69.33445542035714,25.78160440850409
no_commitment_debt,0.12,42.33462624285715,2.2668574285714285,71.416386025,18.675469268279652
no_commitment_debt,0.14,47.08028041428572,3.107683598214286,77.20885474678572,15.149637640504535
no_commitment_debt,0.16,51.72549358571428,13.676225541071428,88.84515931392858,3.7821468672314675
no_commitment_debt,0.18,54.25714644285715,16.13782049107143,96.36590657571428,3.362111164446029
no_commitment_debt,0.2,56.5221493,17.46258693392857,99.45442280714285,3.236756931481983
no_commitment_debt,0.22,59.631903585714284,19.820408005357145,105.84363928392858,3.0086113045501746
no_commitment_debt,0.24,62.72558144285715,21.39090876964286,112.49370394214286,2.932347667803382
no_commitment_debt,0.26,62.72558144285715,23.748099917857143,115.31463140178572,2.6412884255927898
no_commitment_debt,0.28,62.72558144285715,26.233770266071428,117.44575778714285,2.391024271642006
no_commitment_debt,0.3,62.72558144285715,28.605114623214288,121.04213059749999,2.192810001605539
no_commitment_debt,0.32,62.72558144285715,30.88673184642857,124.85699876035714,2.0308261085936192
no_commitment_debt,0.34,152.62434497142857,56.1812591625,180.03805439285716,2.7166415855859394
no_commitment_debt,0.36,160.64086820357144,56.1812591625,187.00414871821428,2.8593319302248106
no_commitment_debt,0.38,164.55992510357143,56.1812591625,188.53386867821428,2.9290893005369356
no_commitment_debt,0.4,169.74405530714284,56.1812591625,187.7361947332143,3.021364380890274
no_commitment_debt,0.42,171.85215243392855,56.68418000178571,189.6559624075,3.031748054369221
no_commitment_debt,0.44,173.91723152321427,57.59780908214286,189.3455296432143,3.0195112330606704
no_commitment_debt,0.46,176.02646788392855,58.488543332142854,189.44698910464285,3.00958885032091
no_commitment_debt,0.48,178.19031408392857,59.61780850178572,190.39331612714287,2.9888772929080627
no_commitment_debt,0.5,181.15123625535716,69.8482682875,198.09701247857143,2.5934964559139377
no_commitment_debt,0.52,182.61532125535714,72.80810096607142,203.79769848,2.508173113050372
no_commitment_debt,0.54,183.63390696964285,75.07414989464284,211.02898619857143,2.4460337842965925
no_commitment_debt,0.56,184.6997583982143,76.2339690875,211.29845064642856,2.422801286736352
no_commitment_debt,0.58,185.45464982678573,78.40956064642857,211.39466044321426,2.3652045528357757
no_commitment_debt,0.6,185.45464982678573,81.02481070178571,215.63814953178573,2.2888624881748534
no_commitment_debt,0.62,185.45464982678573,82.56292720892857,211.82174517107143,2.2462218346193783
no_commitment_debt,0.64,185.45464982678573,84.4843726125,214.15598783428572,2.195135551013686
no_commitment_debt,0.66,185.91241211250002,87.26215299642857,219.19060820214284,2.1305045283504405
no_commitment_debt,0.68,247.41908576607142,107.32614724642858,225.18066265750002,2.3053011042870972
no_commitment_debt,0.7,255.55646153749998,107.32614724642858,231.12461232821428,2.3811202404454517
no_commitment_debt,0.72,259.32717483392855,107.32614724642858,230.37231948857143,2.416253461875368
no_commitment_debt,0.74,266.3879160982143,107.32614724642858,234.04086662857142,2.4820411701406595
no_commitment_debt,0.76,266.90312948928573,107.92884166607143,230.8310220167857,2.47295463723289
