scope,stress_axis,stress_bin,rows,mean_delay,mean_packet_capacity,mean_verifier_capacity,mean_resource_utilization,mean_commitment_debt,mean_verifier_queue_length,mean_fce_increment,mean_progress_increment,send_actionable_ratio,send_informational_only_ratio,verify_first_ratio,defer_ratio,reject_ratio,protective_ratio
all_pg_cpb_events,commitment_debt,debt_low_lt_5,3830,3.5819843342036553,14.628198433420366,6.426370757180156,0.48681201044387995,3.0826321772845793,1.0789164490861618,0.40171951220626473,0.1921594901305489,0.4321148825065274,0.28903394255874676,0.11436031331592689,0.0,0.16449086161879894,0.27885117493472583
all_pg_cpb_events,commitment_debt,debt_mid_lt_20,23637,4.232559123408216,13.749291365232475,6.111456614629606,0.5093057494607273,12.810431615644958,1.374444726488133,0.5348355575728739,0.2703794701273424,0.4282692389051064,0.3637094385920379,0.08469771967677793,0.0,0.12332360282607777,0.20802132250285568
all_pg_cpb_events,commitment_debt,debt_high_ge_20,27829,5.733156060224945,14.126486758417478,4.108034783858565,0.6081630673040782,42.32458391304054,1.7929048833950196,0.3835524353857492,0.20719062217470974,0.23694706960365086,0.4269646771353624,0.1397463078084013,0.14837040497322937,0.04797154047935607,0.33608825326098674
selected_pg_cpb_locked_test,feedback_delay,delay_low_0_3,2096,2.572519083969466,15.374045801526718,6.687022900763359,0.4906870229007827,9.096431274332058,1.307013358778626,0.36943298664122187,0.34399556164122114,0.43559160305343514,0.3597328244274809,0.04961832061068702,0.0,0.15505725190839695,0.20467557251908397
selected_pg_cpb_locked_test,feedback_delay,delay_mid_4_6,2448,5.163398692810458,14.77124183006536,3.866013071895425,0.6322875816993463,38.270082457107854,1.0269607843137254,0.3127991578022879,0.23297674115604589,0.19117647058823528,0.5200163398692811,0.06699346405228758,0.18586601307189543,0.03594771241830065,0.28880718954248363
selected_pg_cpb_locked_test,feedback_delay,delay_high_7_plus,2080,7.561538461538461,12.538461538461538,3.9423076923076925,0.5876923076922989,28.425546807692285,1.7772836538461538,0.5042180187500003,0.088711579423077,0.2567307692307692,0.4230769230769231,0.22788461538461538,0.0014423076923076924,0.09086538461538461,0.32019230769230766
selected_pg_cpb_locked_test,verifier_capacity,verifier_scarce_le_2p5,2304,6.166666666666667,16.0,2.5,0.6800000000000076,53.93148958289933,1.4151475694444444,0.24469975694444468,0.17511614095052086,0.0998263888888889,0.5421006944444444,0.15711805555555555,0.1974826388888889,0.003472222222222222,0.3580729166666667
selected_pg_cpb_locked_test,verifier_capacity,verifier_mid_le_5,1440,7.533333333333333,10.0,5.0,0.5199999999999896,12.788977679861144,1.2645833333333334,0.4049607770833332,0.21561709374999974,0.34305555555555556,0.38055555555555554,0.11180555555555556,0.0006944444444444445,0.1638888888888889,0.2763888888888889
selected_pg_cpb_locked_test,verifier_capacity,verifier_ample_gt_5,2880,3.022222222222222,15.0,6.5,0.5150000000000055,10.139631704166643,1.3433159722222223,0.5006616660763892,0.26455056979166647,0.41354166666666664,0.3854166666666667,0.07604166666666666,0.0006944444444444445,0.12430555555555556,0.20104166666666667
selected_pg_cpb_locked_test,resource_utilization,resource_low_lt_0p55,2880,4.955555555555556,13.0,6.0,0.4850000000000026,10.246904860763873,1.3666666666666667,0.4713455065972215,0.24020149479166666,0.41631944444444446,0.35208333333333336,0.0920138888888889,0.00034722222222222224,0.13923611111111112,0.23159722222222223
selected_pg_cpb_locked_test,resource_utilization,resource_mid_lt_0p65,1440,3.6666666666666665,14.0,6.0,0.5800000000000126,12.574431366666666,1.2178819444444444,0.46359309604166693,0.26431524374999993,0.3375,0.44722222222222224,0.0798611111111111,0.001388888888888889,0.13402777777777777,0.2152777777777778
selected_pg_cpb_locked_test,resource_utilization,resource_high_ge_0p65,2304,6.166666666666667,16.0,2.5,0.6800000000000076,53.93148958289933,1.4151475694444444,0.24469975694444468,0.17511614095052086,0.0998263888888889,0.5421006944444444,0.15711805555555555,0.1974826388888889,0.003472222222222222,0.3580729166666667
selected_pg_cpb_locked_test,commitment_debt,debt_low_lt_5,1056,4.035984848484849,14.035984848484848,6.21875,0.49966856060605325,2.965758409090902,0.9907670454545454,0.343339209185606,0.19622768143939393,0.3503787878787879,0.375,0.08522727272727272,0.0,0.1893939393939394,0.2746212121212121
selected_pg_cpb_locked_test,commitment_debt,debt_mid_lt_20,2810,4.586832740213523,13.38220640569395,5.916903914590748,0.5216334519572969,11.57315457010674,1.451067615658363,0.5133361093238434,0.260938714590747,0.4188612099644128,0.37402135231316724,0.08861209964412811,0.0,0.11850533807829182,0.20711743772241992
selected_pg_cpb_locked_test,commitment_debt,debt_high_ge_20,2758,6.022117476432197,15.242204496011603,3.0770485859318346,0.6545612762871755,49.392318326323434,1.3874184191443075,0.2841902411892681,0.19412894312907902,0.13343002175489485,0.5293691080493111,0.1461203770848441,0.1660623640319072,0.025018129079042786,0.33720087019579403
